,Date,GHI
217,2020-02-03,5.049441667
218,2020-02-04,4.772808333
219,2020-02-05,5.172516667
220,2020-02-06,4.62125
221,2020-02-07,5.256708333
222,2020-02-08,4.639883333
223,2020-02-09,3.420391667
224,2020-02-10,4.015516667
225,2020-02-11,5.081233333
226,2020-02-12,4.590058333
227,2020-02-13,5.550083333
228,2020-02-14,4.707008333
229,2020-02-15,5.042708333
230,2020-02-16,4.418366667
231,2020-02-17,5.067591667
232,2020-02-18,5.636816667
233,2020-02-19,6.350425
234,2020-02-20,5.145483333
235,2020-02-21,5.7667
236,2020-02-22,6.243441667
237,2020-02-23,6.434125
238,2020-02-24,6.1229
239,2020-02-25,5.188775
240,2020-02-26,5.680933333
241,2020-02-27,5.403366667
242,2020-02-28,6.12265
243,2020-02-29,5.796691667
244,2020-03-01,5.176516667
245,2020-03-02,4.816608333
246,2020-03-03,4.1532
247,2020-03-04,4.285125
248,2020-03-05,4.463325
249,2020-03-06,3.399758333
250,2020-03-07,5.052308333
251,2020-03-08,4.931158333
252,2020-03-09,4.916208333
253,2020-03-10,5.029041667
254,2020-03-11,4.954483333
255,2020-03-12,6.153458333
256,2020-03-13,6.144225
257,2020-03-14,5.178616667
258,2020-03-15,6.693333333
259,2020-03-16,6.1471
260,2020-03-17,5.987283333
261,2020-03-18,5.698666667
262,2020-03-19,5.195333333
263,2020-03-20,6.153958333
264,2020-03-21,6.044691667
265,2020-03-22,6.300491667
266,2020-03-23,5.735908333
267,2020-03-24,5.065016667
268,2020-03-25,5.75035
269,2020-03-26,5.283633333
270,2020-03-27,5.239491667
271,2020-03-28,4.19995
272,2020-03-29,5.704341667
273,2020-03-30,5.285141667
274,2020-03-31,4.233066667
275,2020-04-01,5.621783333
276,2020-04-02,5.678833333
277,2020-04-03,6.185891667
278,2020-04-04,5.683275
279,2020-04-05,6.892741667
280,2020-04-06,5.083058333
281,2020-04-07,4.884625
282,2020-04-08,3.9222
283,2020-04-09,5.728558333
284,2020-04-10,5.737091667
285,2020-04-11,4.889091667
286,2020-04-12,5.596908333
287,2020-04-13,1.867816667
288,2020-04-14,4.534533333
289,2020-04-15,4.452058333
290,2020-04-16,5.429983333
291,2020-04-17,4.472725
292,2020-04-18,5.449091667
293,2020-04-19,5.1757
294,2020-04-20,5.584291667
295,2020-04-21,6.457483333
296,2020-04-22,4.577166667
297,2020-04-23,5.740241667
298,2020-04-24,5.062733333
299,2020-04-25,5.805525
300,2020-04-26,5.5169
301,2020-04-27,6.154783333
302,2020-04-28,5.878933333
303,2020-04-29,6.08545
304,2020-04-30,5.207166667
305,2020-05-01,6.03805
306,2020-05-02,4.663708333
307,2020-05-03,5.464791667
308,2020-05-04,4.592633333
309,2020-05-05,4.253583333
310,2020-05-06,4.880816667
311,2020-05-07,4.841466667
312,2020-05-08,4.510683333
313,2020-05-09,4.7767
314,2020-05-10,5.5035
315,2020-05-11,3.838958333
316,2020-05-12,4.668425
317,2020-05-13,5.32895
318,2020-05-14,5.247483333
319,2020-05-15,5.217991667
320,2020-05-16,4.272483333
321,2020-05-17,4.650916667
322,2020-05-18,6.124416667
323,2020-05-19,6.448066667
324,2020-05-20,3.399866667
325,2020-05-21,6.2427
326,2020-05-22,6.165941667
327,2020-05-23,1.4891
328,2020-05-24,5.269075
329,2020-05-25,4.344958333
330,2020-05-26,6.278041667
331,2020-05-27,5.529083333
332,2020-05-28,4.094625
333,2020-05-29,3.191908333
334,2020-05-30,4.843125
335,2020-05-31,5.349741667
336,2020-06-01,5.753025
337,2020-06-02,5.967441667
338,2020-06-03,6.481433333
339,2020-06-04,3.482566667
340,2020-06-05,6.091116667
341,2020-06-06,4.356791667
342,2020-06-07,5.720458333
343,2020-06-08,6.532991667
344,2020-06-09,3.159608333
345,2020-06-10,2.94105
346,2020-06-11,4.143441667
347,2020-06-12,5.833833333
348,2020-06-13,4.894733333
349,2020-06-14,2.969216667
350,2020-06-15,4.313208333
351,2020-06-16,4.991241667
352,2020-06-17,5.370116667
353,2020-06-18,6.145133333
354,2020-06-19,3.97175
355,2020-06-20,5.586458333
356,2020-06-21,3.6268
357,2020-06-22,5.206775
358,2020-06-23,5.4909
359,2020-06-24,4.751008333
360,2020-06-25,3.24855
361,2020-06-26,5.469508333
362,2020-06-27,5.332758333
363,2020-06-28,3.041866667
364,2020-06-29,2.168291667
365,2020-06-30,2.612158333
366,2020-07-01,4.446141667
367,2020-07-02,5.703241667
368,2020-07-03,4.314441667
369,2020-07-04,5.0388
370,2020-07-05,3.555841667
371,2020-07-06,3.430008333
372,2020-07-07,5.052775
373,2020-07-08,4.669158333
374,2020-07-09,4.819108333
375,2020-07-10,5.808341667
376,2020-07-11,5.056216667
377,2020-07-12,5.706333333
378,2020-07-13,5.080458333
379,2020-07-14,6.802625
380,2020-07-15,6.373325
381,2020-07-16,3.385833333
382,2020-07-17,4.903241667
383,2020-07-18,3.602683333
384,2020-07-19,5.185658333
385,2020-07-20,4.802258333
386,2020-07-21,3.878741667
387,2020-07-22,5.033941667
388,2020-07-23,5.238233333
389,2020-07-24,4.326291667
390,2020-07-25,5.342891667
391,2020-07-26,4.191575
392,2020-07-27,6.463783333
393,2020-07-28,4.672008333
394,2020-07-29,5.826408333
395,2020-07-30,5.928366667
396,2020-07-31,2.833108333
397,2020-08-01,4.023816667
398,2020-08-02,3.128775
399,2020-08-03,3.270375
400,2020-08-04,3.911008333
401,2020-08-05,4.348208333
402,2020-08-06,4.216683333
403,2020-08-07,4.42375
404,2020-08-08,4.228008333
405,2020-08-09,3.826891667
406,2020-08-10,4.77865
407,2020-08-11,5.032291667
408,2020-08-12,2.374025
409,2020-08-13,3.296125
410,2020-08-14,5.338333333
411,2020-08-15,6.542925
412,2020-08-16,6.588108333
413,2020-08-17,5.805491667
414,2020-08-18,4.6093
415,2020-08-19,4.504258333
416,2020-08-20,4.920458333
417,2020-08-21,5.852966667
418,2020-08-22,5.7299
419,2020-08-23,5.770433333
420,2020-08-24,6.372925
421,2020-08-25,6.375016667
422,2020-08-26,5.904958333
423,2020-08-27,6.356391667
424,2020-08-28,6.098608333
425,2020-08-29,6.4524
426,2020-08-30,4.734875
427,2020-08-31,6.173716667
428,2020-09-01,3.607716667
429,2020-09-02,5.848
430,2020-09-03,5.022025
431,2020-09-04,6.7933
432,2020-09-05,5.315975
433,2020-09-06,5.303933333
434,2020-09-07,6.947316667
435,2020-09-08,5.245983333
436,2020-09-09,3.982816667
437,2020-09-10,4.208775
438,2020-09-11,6.204075
439,2020-09-12,4.825333333
440,2020-09-13,3.430558333
441,2020-09-14,3.86695
442,2020-09-15,5.83625
443,2020-09-16,5.193391667
444,2020-09-17,4.751516667
445,2020-09-18,3.082125
446,2020-09-19,1.961641667
447,2020-09-20,5.438716667
448,2020-09-21,5.726066667
449,2020-09-22,5.455016667
450,2020-09-23,5.434108333
451,2020-09-24,6.261908333
452,2020-09-25,3.901775
453,2020-09-26,3.824825
454,2020-09-27,3.45985
455,2020-09-28,3.970241667
456,2020-09-29,4.564616667
457,2020-09-30,5.392108333
458,2020-10-01,4.0125
459,2020-10-02,2.411141667
460,2020-10-03,5.345891667
461,2020-10-04,4.904075
462,2020-10-05,3.05
463,2020-10-06,3.399941667
464,2020-10-07,1.767241667
465,2020-10-08,4.223466667
466,2020-10-09,1.825283333
467,2020-10-10,2.645533333
468,2020-10-11,2.573858333
469,2020-10-12,4.169058333
470,2020-10-13,4.326308333
471,2020-10-14,2.54325
472,2020-10-15,2.999
473,2020-10-16,2.124833333
474,2020-10-17,2.839691667
475,2020-10-18,2.898758333
476,2020-10-19,4.856016667
477,2020-10-20,4.438566667
478,2020-10-21,3.001575
479,2020-10-22,5.948458333
480,2020-10-23,5.029258333
481,2020-10-24,5.099741667
482,2020-10-25,2.715316667
483,2020-10-26,5.14175
484,2020-10-27,3.935491667
485,2020-10-28,2.206325
486,2020-10-29,3.794083333
487,2020-10-30,4.33635
488,2020-10-31,3.985316667
489,2020-11-01,4.631875
490,2020-11-02,3.199641667
491,2020-11-03,5.397516667
492,2020-11-04,3.881266667
493,2020-11-05,5.158883333
494,2020-11-06,2.401275
495,2020-11-07,4.188108333
496,2020-11-08,4.948775
497,2020-11-09,3.40385
498,2020-11-10,3.473483333
499,2020-11-11,3.210316667
500,2020-11-12,4.436241667
501,2020-11-13,4.856416667
502,2020-11-14,5.4906
503,2020-11-15,4.450458333
504,2020-11-16,4.598091667
505,2020-11-17,5.437575
506,2020-11-18,3.887516667
507,2020-11-19,3.99265
508,2020-11-20,4.206191667
509,2020-11-21,3.515766667
510,2020-11-22,4.502883333
511,2020-11-23,3.430041667
512,2020-11-24,4.42425
513,2020-11-25,4.824158333
514,2020-11-26,4.384575
515,2020-11-27,4.1413
516,2020-11-28,4.05465
517,2020-11-29,2.462508333
518,2020-11-30,3.986191667
519,2020-12-01,3.422875
520,2020-12-02,4.100191667
521,2020-12-03,5.60325
522,2020-12-04,5.626008333
523,2020-12-05,5.074833333
524,2020-12-06,5.420141667
525,2020-12-07,3.066733333
526,2020-12-08,4.480466667
527,2020-12-09,3.3859
528,2020-12-10,3.428716667
529,2020-12-11,2.8102
530,2020-12-12,3.284166667
531,2020-12-13,2.810166667
532,2020-12-14,4.296166667
533,2020-12-15,4.15135
534,2020-12-16,4.663783333
535,2020-12-17,4.445075
536,2020-12-18,3.599541667
537,2020-12-19,3.687291667
538,2020-12-20,3.353266667
539,2020-12-21,4.921075
540,2020-12-22,2.876825
541,2020-12-23,3.4587
542,2020-12-24,4.203441667
543,2020-12-25,4.012741667
544,2020-12-26,4.949166667
545,2020-12-27,4.482958333
546,2020-12-28,4.528641667
547,2020-12-29,4.800583333
548,2020-12-30,2.427341667
549,2020-12-31,3.629525
550,2021-01-01,2.786683333
551,2021-01-02,3.874108333
552,2021-01-03,4.827366667
553,2021-01-04,4.065383333
554,2021-01-05,4.0429
555,2021-01-06,3.949783333
556,2021-01-07,4.947341667
557,2021-01-08,5.051108333
558,2021-01-09,5.2389
559,2021-01-10,4.8213
560,2021-01-11,4.975141667
561,2021-01-12,4.866616667
562,2021-01-13,5.033091667
563,2021-01-14,4.440375
564,2021-01-15,4.514583333
565,2021-01-16,4.349475
566,2021-01-17,4.833258333
567,2021-01-18,5.544341667
568,2021-01-19,3.88405
569,2021-01-20,3.496041667
570,2021-01-21,3.969733333
571,2021-01-22,3.324808333
572,2021-01-23,3.377008333
573,2021-01-24,3.681925
574,2021-01-25,4.29905
575,2021-01-26,4.239008333
576,2021-01-27,4.010408333
577,2021-01-28,4.213233333
578,2021-01-29,5.424616667
579,2021-01-30,4.741075
580,2021-01-31,4.604041667
581,2021-02-01,4.621641667
